image_path,label
Didgeridoo\001.jpg,0
Didgeridoo\002.jpg,0
Didgeridoo\003.jpg,0
Didgeridoo\004.jpg,0
Didgeridoo\005.jpg,0
Didgeridoo\006.jpg,0
Didgeridoo\007.jpg,0
Didgeridoo\008.jpg,0
Didgeridoo\009.jpg,0
Didgeridoo\010.jpg,0
Didgeridoo\011.jpg,0
Didgeridoo\012.jpg,0
Didgeridoo\013.jpg,0
Didgeridoo\014.jpg,0
Didgeridoo\015.jpg,0
Didgeridoo\016.jpg,0
Didgeridoo\017.jpg,0
Didgeridoo\018.jpg,0
Didgeridoo\019.jpg,0
Didgeridoo\020.jpg,0
Didgeridoo\021.jpg,0
Didgeridoo\022.jpg,0
Didgeridoo\023.jpg,0
Didgeridoo\024.jpg,0
Didgeridoo\025.jpg,0
Didgeridoo\026.jpg,0
Didgeridoo\027.jpg,0
Didgeridoo\028.jpg,0
Didgeridoo\029.jpg,0
Didgeridoo\030.jpg,0
Didgeridoo\031.jpg,0
Didgeridoo\032.jpg,0
Didgeridoo\033.jpg,0
Didgeridoo\034.jpg,0
Didgeridoo\035.jpg,0
Didgeridoo\036.jpg,0
Didgeridoo\037.jpg,0
Didgeridoo\038.jpg,0
Didgeridoo\039.jpg,0
Didgeridoo\040.jpg,0
Didgeridoo\041.jpg,0
Didgeridoo\042.jpg,0
Didgeridoo\043.jpg,0
Didgeridoo\044.jpg,0
Didgeridoo\045.jpg,0
Didgeridoo\046.jpg,0
Didgeridoo\047.jpg,0
Didgeridoo\048.jpg,0
Didgeridoo\049.jpg,0
Didgeridoo\050.jpg,0
Didgeridoo\051.jpg,0
Didgeridoo\052.jpg,0
Didgeridoo\053.jpg,0
Didgeridoo\054.jpg,0
Didgeridoo\055.jpg,0
Didgeridoo\056.jpg,0
Didgeridoo\057.jpg,0
Didgeridoo\058.jpg,0
Didgeridoo\059.jpg,0
Didgeridoo\060.jpg,0
Didgeridoo\061.jpg,0
Didgeridoo\062.jpg,0
Didgeridoo\063.jpg,0
Didgeridoo\064.jpg,0
Didgeridoo\065.jpg,0
Didgeridoo\066.jpg,0
Didgeridoo\067.jpg,0
Didgeridoo\068.jpg,0
Didgeridoo\069.jpg,0
Didgeridoo\070.jpg,0
Didgeridoo\071.jpg,0
Didgeridoo\072.jpg,0
Didgeridoo\073.jpg,0
Didgeridoo\074.jpg,0
Didgeridoo\075.jpg,0
Didgeridoo\076.jpg,0
Didgeridoo\077.jpg,0
Didgeridoo\078.jpg,0
Didgeridoo\079.jpg,0
Didgeridoo\080.jpg,0
Didgeridoo\081.jpg,0
Didgeridoo\082.jpg,0
Didgeridoo\083.jpg,0
Didgeridoo\084.jpg,0
Didgeridoo\085.jpg,0
Didgeridoo\086.jpg,0
Didgeridoo\087.jpg,0
Didgeridoo\088.jpg,0
Didgeridoo\089.jpg,0
Didgeridoo\090.jpg,0
Didgeridoo\091.jpg,0
Didgeridoo\092.jpg,0
Didgeridoo\093.jpg,0
Didgeridoo\094.jpg,0
Didgeridoo\095.jpg,0
Didgeridoo\096.jpg,0
Didgeridoo\097.jpg,0
Didgeridoo\098.jpg,0
Didgeridoo\099.jpg,0
Didgeridoo\100.jpg,0
Didgeridoo\101.jpg,0
